iter	RMSE
356	4.160840932
357	4.157568061
358	4.152942763
359	4.149606357
360	4.148941438
361	4.144030962
362	4.139950122
363	4.135976336
364	4.13446162
365	4.13242038
366	4.129927786
367	4.127554475
368	4.12248703
369	4.120207228
370	4.117250113
371	4.11488971
372	4.110721415
373	4.109017253
374	4.107584981
375	4.106200073
376	4.103227212
377	4.097842347
378	4.09226239
379	4.086932195
380	4.085864348
381	4.082800118
382	4.081379625
383	4.08058751
384	4.076083402
385	4.075732221
386	4.073965756
387	4.072301233
388	4.07135475
389	4.070579399
390	4.06880011
391	4.068411023
392	4.06443106
393	4.059919591
394	4.054696045
395	4.052449503
396	4.047615811
397	4.044189404
398	4.042191844
399	4.039133798
400	4.036851853
401	4.032836169
402	4.028687583
403	4.027721421
404	4.025285355
405	4.022691019
406	4.016740136
407	4.015682184
408	4.013682198
409	4.011748424
410	4.006885324
411	4.00225952
412	3.999436255
413	3.994031562
414	3.991827576
415	3.98963516
416	3.987711167
417	3.984553659
418	3.979784894
419	3.97591043
420	3.970098368
421	3.967915476
422	3.964202888
423	3.963041925
424	3.960323133
425	3.95892564
426	3.957527771
427	3.955950495
428	3.952649446
429	3.951915276
430	3.946957776
431	3.944960033
432	3.940736365
433	3.935657901
434	3.933726127
435	3.929760562
436	3.927302297
437	3.925105741
438	3.923672795
439	3.918704844
440	3.917356509
441	3.913954045
442	3.912758995
443	3.90947122
444	3.908749076
445	3.903639054
446	3.900591427
447	3.898232965
448	3.892576541
449	3.889929385
450	3.885649466
451	3.88537744
452	3.88039808
453	3.876623581
454	3.874685033
455	3.870512923
456	3.870062429
457	3.869044969
458	3.867100612
459	3.863946229
460	3.858646988
461	3.854224644
462	3.852497029
463	3.851693046
464	3.84914257
465	3.844668725
466	3.842975541
467	3.837828379
468	3.834068783
469	3.830454079
470	3.829114636
471	3.82396567
472	3.821559949
473	3.820260115
474	3.820023853
475	3.817154348
476	3.816491148
477	3.816146699
478	3.815959187
479	3.811632245
480	3.807138306
481	3.806135154
482	3.805272384
483	3.804483534
484	3.799659835
485	3.798171964
486	3.795741322
487	3.793606662
488	3.789271064
489	3.78860466
490	3.784562601
491	3.77969638
492	3.775852151
493	3.774140733
494	3.770470881
495	3.769366229
496	3.764470133
497	3.763186428
498	3.762422007
499	3.76152396
500	3.757048028
501	3.755797442
502	3.755417349
503	3.75390467
504	3.751689232
505	3.749691985
506	3.747206721
507	3.746768296
508	3.744639927
509	3.744425557
510	3.743638083
511	3.742559055
512	3.738576101
513	3.736569819
514	3.734623116
515	3.734407721
516	3.734084176
517	3.732178513
518	3.729530592
519	3.728836248
520	3.72681539
521	3.725511923
522	3.722191495
523	3.720879243
524	3.719331819
525	3.717913051
526	3.714435646
527	3.711531283
528	3.707599943
529	3.70307569
530	3.7018447
531	3.698479159
532	3.694667419
533	3.691094071
534	3.685996706
535	3.68530467
536	3.683202738
537	3.678517205
538	3.676831404
539	3.671925341
540	3.667890688
541	3.6647723
542	3.66341835
543	3.661836747
544	3.66100161
545	3.657800658
546	3.656176908
547	3.655518539
548	3.653168092
549	3.651595175
550	3.647205137
551	3.645407778
552	3.643992584
553	3.638560529
554	3.636804021
555	3.634713942
556	3.633202086
557	3.632939498
558	3.629008883
559	3.627534986
560	3.62583783
561	3.623923779
562	3.622472642
563	3.619210549
564	3.615474869
565	3.611065453
566	3.610476161
567	3.607787362
568	3.607422315
569	3.604010299
570	3.597361235
571	3.593690586
572	3.591893148
573	3.590082422
574	3.586731219
575	3.583898137
576	3.582026389
577	3.578498895
578	3.578082279
579	3.576432528
580	3.57447055
581	3.572731371
582	3.571349604
583	3.568357742
584	3.567017134
585	3.564564308
586	3.56211706
587	3.560816979
588	3.560484604
589	3.558638721
590	3.556823594
591	3.554580515
592	3.554290297
593	3.552186845
594	3.551562952
595	3.548960725
596	3.548646553
597	3.54473545
598	3.543509407
599	3.538390805
600	3.535149326
601	3.532014638
602	3.528601376
603	3.527722003
604	3.523922655
605	3.523047657
606	3.520983687
607	3.520585311
608	3.518671902
609	3.516125885
610	3.513193995
611	3.511490983
612	3.509695123
613	3.503889294
614	3.502981224
615	3.499633171
616	3.49676582
617	3.495620934
618	3.49510636
619	3.494051242
620	3.492140075
621	3.492113522
622	3.489534034
623	3.487737276
624	3.4862207
625	3.483451881
626	3.480374836
627	3.477770212
628	3.477052091
629	3.476357499
630	3.472718534
631	3.471611302
632	3.470891018
633	3.468518242
634	3.467552655
635	3.466881511
636	3.466232222
637	3.46504485
638	3.462209648
639	3.46038976
640	3.457624496
641	3.45650595
642	3.452635465
643	3.449406226
644	3.446447746
645	3.445054071
646	3.444364052
647	3.441950073
648	3.440614071
649	3.440311375
650	3.43818344
651	3.434298621
652	3.433157521
653	3.432733352
654	3.430979
655	3.428514055
656	3.427584187
657	3.425457318
658	3.421157009
659	3.417976188
660	3.416403812
661	3.414393606
662	3.413286268
663	3.411577509
664	3.409206985
665	3.40454048
666	3.404008389
667	3.40185123
668	3.400077294
669	3.396693634
670	3.393836782
671	3.392781815
672	3.389504442
673	3.388330006
674	3.386783437
675	3.385906839
676	3.382816274
677	3.380856418
678	3.378918272
679	3.375958103
680	3.373014414
681	3.369777423
682	3.368740725
683	3.368161872
684	3.366472763
685	3.365833306
686	3.363810973
687	3.361235292
688	3.360136014
689	3.358713283
690	3.356099686
691	3.355548384
692	3.354323677
693	3.353904473
694	3.351152485
695	3.346325089
696	3.343577102
697	3.340880752
698	3.339139518
699	3.337337988
700	3.334861781
701	3.334043945
702	3.331043237
703	3.328375485
704	3.327797844
705	3.326503039
706	3.325847283
707	3.323984868
708	3.319870356
709	3.317229014
710	3.317093183
711	3.314437562
712	3.311474906
713	3.309013264
714	3.305114138
715	3.30212296
716	3.300782866
717	3.299706402
718	3.296570042
719	3.294785999
720	3.29266655
721	3.291820325
722	3.287468169
723	3.284650633
724	3.284064778
725	3.283328053
726	3.281750984
727	3.281265988
728	3.2783985
729	3.276720022
730	3.275151576
731	3.273009722
732	3.270921181
733	3.270434606
734	3.269681957
735	3.267822507
736	3.265456223
737	3.265098233
738	3.26293213
739	3.258946275
740	3.257588771
741	3.255513826
742	3.254234874
743	3.251776347
744	3.248458135
745	3.245693845
746	3.2440541
747	3.24131303
748	3.240726677
749	3.239856728
750	3.238544331
751	3.235463836
752	3.234452243
753	3.231501359
754	3.229751207
755	3.227847571
756	3.224806806
757	3.222141065
758	3.219925401
759	3.21617133
760	3.215856225
761	3.212688108
762	3.212113852
763	3.211899367
764	3.209132627
765	3.207964562
766	3.207590394
767	3.205063364
768	3.202880923
769	3.202236391
770	3.197917976
771	3.195841022
772	3.193947354
773	3.190358223
774	3.189992331
775	3.187508251
776	3.187395114
777	3.18525194
778	3.183268109
779	3.182401145
780	3.180343101
781	3.178897209
782	3.178117619
783	3.176273273
784	3.17369648
785	3.172775633
786	3.170352325
787	3.168815034
788	3.166190655
789	3.165711238
790	3.16307101
791	3.160686108
792	3.156804197
793	3.154289514
794	3.15419232
795	3.151312361
796	3.149543486
797	3.149443516
798	3.148423548
799	3.147219543
800	3.146492565
801	3.143564255
802	3.141661163
803	3.139407801
804	3.138508698
805	3.135735938
806	3.13455612
807	3.132897041
808	3.132373999
809	3.131676346
810	3.128340445
811	3.127444129
812	3.125331784
813	3.123531209
814	3.123119165
815	3.120451989
816	3.118300969
817	3.117026747
818	3.11647876
819	3.115615412
820	3.113976441
821	3.112415658
822	3.111312632
823	3.10880819
824	3.107854281
825	3.106025163
826	3.103707854
827	3.101244985
828	3.099015846
829	3.098612102
830	3.098179006
831	3.095695488
832	3.094363605
833	3.093259617
834	3.093139819
835	3.091879798
836	3.091560034
837	3.089224547
838	3.087882405
839	3.086536801
840	3.084663578
841	3.083562752
842	3.080842468
843	3.079662093
844	3.07815513
845	3.07749491
846	3.077004751
847	3.072227293
848	3.070723102
849	3.068498715
850	3.067915126
851	3.06536532
852	3.065181864
853	3.064098102
854	3.062187541
855	3.061277038
856	3.05833967
857	3.057718543
858	3.055041108
859	3.054823403
860	3.054435785
861	3.05294862
862	3.05035716
863	3.048183425
864	3.046081515
865	3.044885461
866	3.042657482
867	3.040867221
868	3.037084642
869	3.035417044
870	3.033842186
871	3.030702887
872	3.028613384
873	3.02739986
874	3.026692871
875	3.026431423
876	3.026138292
877	3.025452074
878	3.025233023
879	3.024014501
880	3.022829316
881	3.022315354
882	3.021938162
883	3.01834874
884	3.016571597
885	3.01489635
886	3.013059617
887	3.011472895
888	3.010653573
889	3.00904752
890	3.007619939
891	3.005214621
892	3.003357573
893	3.002954089
894	3.002330991
895	3.000674076
896	2.998601556
897	2.998392226
898	2.997888716
899	2.996550424
900	2.995250245
901	2.994836295
902	2.993852249
903	2.993139064
904	2.990559475
905	2.99031292
906	2.989715722
907	2.988078573
908	2.985691653
909	2.984307507
910	2.984116416
911	2.983959217
912	2.982471438
913	2.980785901
914	2.980406217
915	2.977926645
916	2.97546834
917	2.973004858
918	2.970762596
919	2.96999259
920	2.96810854
921	2.965306589
922	2.964715943
923	2.961498869
924	2.960353366
925	2.959429121
926	2.958856247
927	2.953830264
928	2.953337686
929	2.953197526
930	2.95236793
931	2.951878142
932	2.950840515
933	2.949771569
934	2.949295161
935	2.948842791
936	2.948211864
937	2.946781099
938	2.946181478
939	2.94261015
940	2.94152072
941	2.940669835
942	2.93836958
943	2.933334779
944	2.932296917
945	2.930041346
946	2.928459876
947	2.927968457
948	2.926682527
949	2.925752689
950	2.923479852
951	2.920597094
952	2.919641891
953	2.918368474
954	2.917518946
955	2.916118503
956	2.914774908
957	2.91419076
958	2.913091393
959	2.911487282
960	2.910252455
961	2.909482591
962	2.908302904
963	2.907515758
964	2.90546286
965	2.905308987
966	2.904765424
967	2.903537662
968	2.901195911
969	2.899195807
970	2.897811742
971	2.895547907
972	2.893519337
973	2.891795175
974	2.891619289
975	2.889770224
976	2.888083675
977	2.887938028
978	2.885435845
979	2.884712278
980	2.884213619
981	2.881840537
982	2.880849553
983	2.87871426
984	2.877090959
985	2.874190668
986	2.871383117
987	2.870837258
988	2.869032923
989	2.868626981
990	2.865215897
991	2.863195317
992	2.860721298
993	2.860571048
994	2.859545002
995	2.859445762
996	2.856119779
997	2.855634047
998	2.852996715
999	2.852884496
